,support,itemsets
0,0.131509087,53-04-07-00
1,0.035327752,M-01-01-RL
2,0.031652032,M-02-01-0001
3,0.056565244,M-03-01-1516
4,0.082499489,M-04-01-0003
5,0.037574025,M-05-01-0001
6,0.06963447,M-08-02-0002
7,0.06779661,M-08-02-0003
8,0.195629978,M-SERVICE-01
9,0.045538085,MOBIL 10W-30
10,0.043700225,S-RING
11,0.132938534,S555
12,0.036757198,SBREAKPAD-02
13,0.066979784,"M-08-02-0003', 'M-04-01-0003"
14,0.032673065,"M-05-01-0001', 'M-SERVICE-01"
15,0.031447825,"M-05-01-0001', 'SBREAKPAD-02"
16,0.036552992,"M-08-02-0002', 'M-SERVICE-01"
17,0.055952624,"S555', 'M-SERVICE-01"
18,0.032673065,"SBREAKPAD-02', 'M-SERVICE-01"
19,0.041453951,"S555', 'MOBIL 10W-30"
20,0.043087605,"S555', 'S-RING"
